1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.010000
10,0.000000
11,0.010000
12,0.030000
13,0.040000
14,0.070000
15,0.060000
16,0.190000
17,0.330000
18,0.350000
19,0.430000
20,0.570000
21,0.810000
22,0.940000
23,1.290000
24,1.720000
25,1.840000
26,2.210000
27,2.450000
28,2.910000
29,3.510000
30,4.100000
31,4.380000
32,5.070000
33,5.590000
34,6.330000
35,7.290000
36,7.780000
37,8.340000
38,8.940001
39,9.610001
40,10.460000
41,11.469999
42,12.190000
43,13.099999
44,13.610000
45,14.810000
46,15.860001
47,16.270000
48,17.710001
49,19.130001
50,19.939999
51,21.340000
52,21.900000
53,23.720001
54,24.500000
55,25.450001
56,26.900000
57,27.919998
58,29.640001
59,30.340000
60,31.930000
61,33.379997
62,34.099998
63,35.570000
64,37.040001
65,38.560001
66,40.220001
67,41.260002
68,42.379997
69,44.279999
70,46.259998
71,47.710003
72,48.689999
73,50.559998
74,51.529999
75,53.490002
76,55.150002
77,56.370003
78,58.689999
79,59.960003
80,61.260002
81,63.110001
82,64.840004
83,67.180000
84,68.150002
85,70.010002
86,72.430000
87,73.489998
88,75.580002
89,77.000000
90,79.220001
91,80.669998
92,82.340004
93,84.120003
94,85.139999
95,87.220001
96,88.669998
97,90.540001
98,92.790001
99,94.470001
100,94.040001
